phase,experiment,model,stage,runtime,host,git_hash,path,top1,size_mb
phase_7,phase_7_detection,alexnet_bottleneck,fp32,pcad,,baa3528eb2799b9aa61a0cbfb918a6eed1f7f758,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_fp32_phase_7_detection,0.20983858406543732,5.757146835327148
phase_7,phase_7_detection,alexnet_bottleneck,fp32_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_fp32_pretrained_phase_7_detection,0.20826536417007446,5.757146835327148
phase_7,phase_7_detection,alexnet_bottleneck,int8,pcad,,9476ae089cd9b547b3796198d0a55ee941b1afeb,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_int8_phase_7_detection,,3.1411304473876953
phase_7,phase_7_detection,alexnet_bottleneck,int8_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_int8_pretrained_phase_7_detection,,3.1411304473876953
phase_7,phase_7_detection,alexnet_bottleneck,qat,pcad,,9476ae089cd9b547b3796198d0a55ee941b1afeb,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_qat_phase_7_detection,0.21003705263137817,5.935832977294922
phase_7,phase_7_detection,alexnet_bottleneck,qat_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_bottleneck_qat_pretrained_phase_7_detection,0.2014501839876175,5.935832977294922
phase_7,phase_7_detection,alexnet_fire,fp32,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_fp32_phase_7_detection,0.08937178552150726,6.256597518920898
phase_7,phase_7_detection,alexnet_fire,fp32_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_fp32_pretrained_phase_7_detection,0.08934561163187027,6.256597518920898
phase_7,phase_7_detection,alexnet_fire,int8,pcad,,159e1e2ab61fa0c431dfa3bb7b05431c324bfeea,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_int8_phase_7_detection,,3.265073776245117
phase_7,phase_7_detection,alexnet_fire,int8_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_int8_pretrained_phase_7_detection,,3.265073776245117
phase_7,phase_7_detection,alexnet_fire,qat,pcad,,8b55e41c01c41ef7d2b1ea5152c31c1d97b72e2c,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_qat_phase_7_detection,0.06376136094331741,6.442968368530273
phase_7,phase_7_detection,alexnet_fire,qat_pretrained,pcad,,ee6438bf33d637832f3c2b0837bfb75417d374ed,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_fire_qat_pretrained_phase_7_detection,0.07787453383207321,6.442968368530273
phase_7,phase_7_detection,alexnet_tv,fp32,pcad,,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_fp32_phase_7_detection,0.1694234311580658,4.096242904663086
phase_7,phase_7_detection,alexnet_tv,fp32_pretrained,pcad,,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_fp32_pretrained_phase_7_detection,0.18099139630794525,4.096242904663086
phase_7,phase_7_detection,alexnet_tv,int8,pcad,,9476ae089cd9b547b3796198d0a55ee941b1afeb,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_int8_phase_7_detection,,2.2175731658935547
phase_7,phase_7_detection,alexnet_tv,int8_pretrained,pcad,,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_int8_pretrained_phase_7_detection,,2.2175731658935547
phase_7,phase_7_detection,alexnet_tv,qat,pcad,,159e1e2ab61fa0c431dfa3bb7b05431c324bfeea,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_qat_phase_7_detection,0.14732110500335693,4.173465728759766
phase_7,phase_7_detection,alexnet_tv,qat_pretrained,pcad,,bea59260c7ad2d65f731a2f4b20edbb75b5cc65e,outputs/pcad/phase_7_detection_segmentation/ssd_alexnet_tv_qat_pretrained_phase_7_detection,0.17237648367881775,4.173465728759766
phase_7,phase_7_segmentation,alexnet_bottleneck,fp32,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_bottleneck_fp32_phase_7_segmentation,0.17837990820407867,12.129003524780273
phase_7,phase_7_segmentation,alexnet_bottleneck,int8,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_bottleneck_int8_phase_7_segmentation,,11.190401077270508
phase_7,phase_7_segmentation,alexnet_bottleneck,qat,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_bottleneck_qat_phase_7_segmentation,0.17900705337524414,12.235767364501953
phase_7,phase_7_segmentation,alexnet_fire,fp32,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_fire_fp32_phase_7_segmentation,0.17027659714221954,12.628454208374023
phase_7,phase_7_segmentation,alexnet_fire,int8,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_fire_int8_phase_7_segmentation,,11.31446647644043
phase_7,phase_7_segmentation,alexnet_fire,qat,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_fire_qat_phase_7_segmentation,0.17122510075569153,12.742902755737305
phase_7,phase_7_segmentation,alexnet_tv,fp32,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_tv_fp32_phase_7_segmentation,0.16337963938713074,10.262273788452148
phase_7,phase_7_segmentation,alexnet_tv,int8,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_tv_int8_phase_7_segmentation,,9.323707580566406
phase_7,phase_7_segmentation,alexnet_tv,qat,pcad,,713d1450ce2a0c7790c76c55a1059917a193c291,outputs/pcad/phase_7_detection_segmentation/seg_alexnet_tv_qat_phase_7_segmentation,0.1632918417453766,10.278409004211426
phase_8,phase_8_efficient_vit,hybrid_bottleneck_swin,fp32/qat/int8,pcad,,,outputs/pcad/phase_8_efficient_vit/hybrid_bottleneck_swin/results/hybrid_bottleneck_swin_summary.json,40.19,0.5417499542236328
phase_8,phase_8_efficient_vit,swin_pico_poolmixer,fp32/qat/int8,pcad,,,outputs/pcad/phase_8_efficient_vit/swin_pico_poolmixer/results/swin_pico_poolmixer_summary.json,30.97,0.3046274185180664
phase_8,phase_8_efficient_vit,swin_pico_w2,fp32/qat/int8,pcad,,,outputs/pcad/phase_8_efficient_vit/swin_pico_w2/results/swin_pico_w2_summary.json,32.91,0.6686086654663086
phase_8,phase_8_efficient_vit,swin_pico_w4,fp32/qat/int8,pcad,,,outputs/pcad/phase_8_efficient_vit/swin_pico_w4/results/swin_pico_w4_summary.json,33.58,0.6777639389038086
phase_8,phase_8_efficient_vit,swin_pico_w8,fp32/qat/int8,pcad,,,outputs/pcad/phase_8_efficient_vit/swin_pico_w8/results/swin_pico_w8_summary.json,36.75,0.8030691146850586
